complaint_id;customer_id;flight_id;booking_id;complaint_date;complaint_type;complaint_text;assigned_department;resolution_status;corrective_action_taken
CMP000036;CUST0200;FLT00464;BKG001197;2025-12-23;Delay;Retard de 5h sur le vol HF165 (ABJ?DKR). Aucun bon repas proposé. À l'arrivée à DKR, bagages livrés 7h plus tard. Désorganisation totale.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000037;CUST0250;FLT00113;BKG000559;2025-08-12;Delay;Vol HF588 annulé sans solution de remplacement immédiate. 479 USD remboursés sur 729 USD payés. Délai remboursement toujours en attente.;Operations;Escalated;Compensation 329 USD processed per IATA delay policy. Internal debrief with ground ops scheduled. OTP dashboard updated with incident flag.
CMP000038;CUST0043;FLT00330;BKG000878;2025-03-11;Baggage;Ma poussette enregistrée à ABJ est arrivée à CDG complètement détruite. L'article coûte 626 USD. Aucune solution proposée par le personnel au sol.;Baggage;Resolved;PIR confirmed. Bag located at ABJ hub — delivered within 48h. 353 USD emergency expense reimbursed. Loading checklist gap identified.
CMP000039;CUST0241;FLT00010;BKG001105;2025-01-27;Ramp Ops;During disembarkation from HF488 at LOS, passengers kept on jet bridge 40 min in extreme heat. Ground crew communication nonexistent.;Ramp;Resolved;Ramp Supervisor debriefed. Tarmac shelter protocol added to Standard Operating Procedures immediately.
CMP000040;CUST0059;FLT00289;BKG000447;2025-08-27;Others;Remboursement pour vol HF899 annulé le 2025-11-30 toujours non traité après 2 jours. Montant de 284 USD en attente. Trois relances sans réponse.;Customer Service;Resolved;Online change tool bug logged with IT. Fare difference waived as goodwill — passenger rebooked at no extra cost.
CMP000041;CUST0204;FLT00367;BKG000407;2025-02-08;Service;Flight attendant argued loudly with a passenger on HF720. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Escalated;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000042;CUST0036;FLT00260;BKG001327;2025-06-24;Service;Repas servi froid sans choix sur vol HF204 (ABJ?DKR). Pour 659 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Escalated;Incident report filed with In-Flight Service Director. Customer compensated 322 USD travel credit. Crew behavior under review.
CMP000043;CUST0276;FLT00397;BKG000991;2025-08-27;Delay;As a Gold member I expect minimum transparency. Flight HF208 departed 4h late — zero proactive communication, no meal vouchers, no rebooking assistance.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000044;CUST0254;FLT00436;BKG000666;2025-04-04;Baggage;Luggage did not arrive on flight HF430 from ABJ to LOS on 2025-05-06. After 6 days no update. I was traveling for a conference — emergency expenses of 329 USD claimed.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000045;CUST0251;FLT00285;BKG000493;2025-12-20;Baggage;Ma valise est arrivée à LOS avec la serrure forcée et des objets manquants d'une valeur de 90 USD. Rapport PIR déposé (réf. HF4130) — aucune réponse depuis 6 jours.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 93 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000046;CUST0189;FLT00243;BKG001134;2025-09-29;Baggage;Ma poussette enregistrée à ABJ est arrivée à BRU complètement détruite. L'article coûte 494 USD. Aucune solution proposée par le personnel au sol.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000047;CUST0062;FLT00381;BKG001098;2025-12-20;Baggage;Baggage from flight HF438 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 337 USD replacement compensation.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000048;CUST0008;FLT00363;BKG001094;2025-03-06;Delay;Vol HF383 du 2025-10-29 retardé de 6h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à BRU.;Operations;Resolved;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
CMP000049;CUST0226;FLT00175;BKG000378;2025-01-27;Delay;Retard de 3h sur le vol HF399 (ABJ?JNB). Aucun bon repas proposé. À l'arrivée à JNB, bagages livrés 9h plus tard. Désorganisation totale.;Operations;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000050;CUST0044;FLT00128;BKG000243;2025-10-13;Delay;Vol HF941 annulé sans solution de remplacement immédiate. 670 USD remboursés sur 354 USD payés. Délai remboursement toujours en attente.;Operations;Escalated;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
CMP000051;CUST0031;FLT00313;BKG000204;2025-04-17;Service;Flight attendant argued loudly with a passenger on HF894. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000052;CUST0150;FLT00017;BKG000475;2025-05-28;Service;Flight attendant argued loudly with a passenger on HF260. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000053;CUST0116;FLT00332;BKG000306;2025-05-17;Service;Flight attendant argued loudly with a passenger on HF172. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000054;CUST0277;FLT00253;BKG000897;2025-02-11;Ramp Ops;During disembarkation from HF911 at ACC, passengers kept on jet bridge 48 min in extreme heat. Ground crew communication nonexistent.;Ramp;Resolved;Root cause: inadequate pre-loading briefing. Mandatory briefing protocol reinstated. Logged in Safety Management System.
CMP000055;CUST0021;FLT00391;BKG000359;2025-08-29;Service;Check-in staff at ABJ overwhelmed. Waited 34 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Escalated;Apology issued. Escalated to VP Customer Experience. 394 USD miles credited as goodwill gesture.
CMP000056;CUST0083;FLT00169;BKG000844;2025-12-22;Baggage;Baggage from flight HF285 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 561 USD replacement compensation.;Baggage;Resolved;PIR confirmed. Bag located at ABJ hub — delivered within 48h. 220 USD emergency expense reimbursed. Loading checklist gap identified.
CMP000057;CUST0264;FLT00423;BKG000003;2025-12-03;Baggage;Trois bagages familiaux non chargés sur vol HF933. Promesse de livraison le lendemain. Cela fait 9 jours — toujours rien à CDG.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000058;CUST0148;FLT00225;BKG001431;2025-09-06;Ramp Ops;Les équipes rampe ont endommagé la porte cargo lors du chargement du vol HF292. Départ retardé de 4h — incident évitable avec plus de soin.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000059;CUST0237;FLT00061;BKG001327;2025-03-20;Delay;Flight HF826 from ABJ to DKR was delayed 4h on 2025-03-23 with no gate announcement. I missed my connection and had to book an emergency hotel at 645 USD out of pocket.;Operations;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000060;CUST0261;FLT00383;BKG000280;2025-02-05;Baggage;Ma valise est arrivée à JNB avec la serrure forcée et des objets manquants d'une valeur de 329 USD. Rapport PIR déposé (réf. HF3369) — aucune réponse depuis 9 jours.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000061;CUST0248;FLT00177;BKG000681;2025-10-10;Delay;Retard de 4h sur le vol HF448 (ABJ?CDG). Aucun bon repas proposé. À l'arrivée à CDG, bagages livrés 2h plus tard. Désorganisation totale.;Operations;Escalated;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000062;CUST0198;FLT00340;BKG001336;2025-03-19;Service;Repas servi froid sans choix sur vol HF990 (ABJ?CMN). Pour 874 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000063;CUST0039;FLT00241;BKG000543;2025-06-23;Baggage;Trois bagages familiaux non chargés sur vol HF704. Promesse de livraison le lendemain. Cela fait 9 jours — toujours rien à JNB.;Baggage;Resolved;Damage claim approved. 123 USD compensation issued. Baggage team retrained on fragile item protocol. Logged in Ramp Quality tracker.
CMP000064;CUST0121;FLT00324;BKG001402;2025-05-28;Service;Flight attendant argued loudly with a passenger on HF972. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Resolved;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000065;CUST0029;FLT00151;BKG000735;2025-07-11;Others;Denied boarding on HF200 despite confirmed booking HF1474. No immediate alternative offered. Had to book another carrier at double the price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000066;CUST0119;FLT00237;BKG001307;2025-05-11;Baggage;Ma poussette enregistrée à ABJ est arrivée à CDG complètement détruite. L'article coûte 160 USD. Aucune solution proposée par le personnel au sol.;Baggage;Resolved;Damage claim approved. 304 USD compensation issued. Baggage team retrained on fragile item protocol. Logged in Ramp Quality tracker.
CMP000067;CUST0129;FLT00234;BKG000619;2025-04-12;Baggage;Trois bagages familiaux non chargés sur vol HF394. Promesse de livraison le lendemain. Cela fait 4 jours — toujours rien à BRU.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000068;CUST0005;FLT00290;BKG001405;2025-01-26;Others;Points fidélité suite au vol HF342 du 2025-07-15 non crédités après 7 jours. En tant que Gold, j'attends ce crédit pour maintenir mon statut.;Customer Service;Escalated;Denied boarding compensation 387 USD paid per IATA policy. Overbooking model under review by Revenue Management.
CMP000069;CUST0050;FLT00463;BKG001286;2025-11-27;Others;Remboursement pour vol HF894 annulé le 2025-04-28 toujours non traité après 7 jours. Montant de 731 USD en attente. Trois relances sans réponse.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000070;CUST0188;FLT00272;BKG001028;2025-05-20;Delay;Vol HF693 du 2025-07-06 retardé de 3h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à BYK.;Operations;Escalated;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000071;CUST0188;FLT00047;BKG000809;2025-01-08;Ramp Ops;Wheelchair assistance requested at booking (HF4696) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Resolved;Root cause: inadequate pre-loading briefing. Mandatory briefing protocol reinstated. Logged in Safety Management System.
CMP000072;CUST0013;FLT00318;BKG001150;2025-06-17;Delay;Vol HF788 du 2025-12-11 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à CMN.;Operations;Resolved;Escalated to Operations Director. Apology letter + 395 USD travel voucher sent. 30-min buffer added to rotation schedule for this route.
CMP000073;CUST0050;FLT00121;BKG001101;2025-03-11;Others;Points fidélité suite au vol HF750 du 2025-08-26 non crédités après 8 jours. En tant que Gold, j'attends ce crédit pour maintenir mon statut.;Customer Service;Resolved;Refund of 205 USD processed within 5 business days. IT team notified — booking system fix deployed in next release.
CMP000074;CUST0112;FLT00228;BKG000911;2025-05-01;Baggage;Luggage did not arrive on flight HF529 from ABJ to JNB on 2025-10-28. After 8 days no update. I was traveling for a conference — emergency expenses of 181 USD claimed.;Baggage;Resolved;Item reported missing. 193 USD interim payment issued pending investigation. CCTV review requested with destination airport.
CMP000075;CUST0011;FLT00026;BKG000684;2025-05-05;Ramp Ops;Boarding for flight HF657 was chaotic. Passengers held on tarmac in rain for 45 min with no shelter. No staff to assist elderly passengers.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000076;CUST0075;FLT00067;BKG001107;2025-05-09;Others;Purchased Flex fare for HF170 and tried to change booking online. System error for 5 days. Called support, on hold 72 min then disconnected. Missed change window.;Customer Service;Escalated;Denied boarding compensation 355 USD paid per IATA policy. Overbooking model under review by Revenue Management.
CMP000077;CUST0216;FLT00270;BKG000233;2025-02-02;Ramp Ops;Boarding for flight HF234 was chaotic. Passengers held on tarmac in rain for 57 min with no shelter. No staff to assist elderly passengers.;Ramp;Resolved;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000078;CUST0032;FLT00246;BKG000823;2025-08-07;Baggage;Trois bagages familiaux non chargés sur vol HF707. Promesse de livraison le lendemain. Cela fait 10 jours — toujours rien à JNB.;Baggage;Escalated;PIR confirmed. Bag located at ABJ hub — delivered within 48h. 204 USD emergency expense reimbursed. Loading checklist gap identified.
CMP000079;CUST0272;FLT00151;BKG000930;2025-09-16;Service;Repas servi froid sans choix sur vol HF175 (ABJ?BRU). Pour 209 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Apology issued. Escalated to VP Customer Experience. 216 USD miles credited as goodwill gesture.
CMP000080;CUST0213;FLT00374;BKG000195;2025-06-10;Service;Repas servi froid sans choix sur vol HF973 (ABJ?SPY). Pour 542 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000081;CUST0067;FLT00285;BKG000123;2025-10-28;Baggage;Baggage from flight HF256 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 167 USD replacement compensation.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000082;CUST0260;FLT00109;BKG000317;2025-12-03;Others;Promotional upgrade link for ABJ-SPY was broken. Offer expired before IT fix. Requesting upgrade at advertised price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000083;CUST0286;FLT00014;BKG001248;2025-12-03;Baggage;Ma poussette enregistrée à ABJ est arrivée à CMN complètement détruite. L'article coûte 365 USD. Aucune solution proposée par le personnel au sol.;Baggage;Escalated;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000084;CUST0073;FLT00380;BKG001297;2025-01-16;Ramp Ops;Wheelchair assistance requested at booking (HF3347) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Resolved;Ramp Supervisor debriefed. Tarmac shelter protocol added to Standard Operating Procedures immediately.
CMP000085;CUST0081;FLT00387;BKG001266;2025-01-26;Delay;Vol HF529 du 2025-08-21 retardé de 4h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à CDG.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000086;CUST0146;FLT00348;BKG001390;2025-10-31;Service;Repas servi froid sans choix sur vol HF597 (ABJ?CDG). Pour 300 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000087;CUST0149;FLT00168;BKG000246;2025-01-04;Baggage;Baggage from flight HF325 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 289 USD replacement compensation.;Baggage;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000088;CUST0010;FLT00236;BKG000160;2025-06-10;Baggage;Luggage did not arrive on flight HF489 from ABJ to ACC on 2025-09-30. After 10 days no update. I was traveling for a conference — emergency expenses of 764 USD claimed.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 253 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000089;CUST0055;FLT00125;BKG000893;2025-10-29;Service;Repas servi froid sans choix sur vol HF396 (ABJ?CDG). Pour 255 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000090;CUST0262;FLT00100;BKG000716;2025-06-29;Baggage;Luggage did not arrive on flight HF863 from ABJ to LOS on 2025-06-23. After 7 days no update. I was traveling for a conference — emergency expenses of 252 USD claimed.;Baggage;Resolved;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000091;CUST0289;FLT00390;BKG001187;2025-08-18;Service;Repas servi froid sans choix sur vol HF341 (ABJ?ACC). Pour 257 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Escalated;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000092;CUST0029;FLT00181;BKG001040;2025-02-07;Service;Check-in staff at ABJ overwhelmed. Waited 48 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Escalated;Incident report filed with In-Flight Service Director. Customer compensated 373 USD travel credit. Crew behavior under review.
CMP000093;CUST0022;FLT00231;BKG001171;2025-11-30;Delay;Vol HF477 annulé sans solution de remplacement immédiate. 688 USD remboursés sur 819 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000094;CUST0021;FLT00127;BKG001450;2025-08-13;Delay;Vol HF254 du 2025-02-01 retardé de 5h sans explication. L'équipe au sol était incapable de donner une heure révisée. J'avais un rendez-vous critique à JNB.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000095;CUST0034;FLT00169;BKG000194;2025-10-13;Others;Denied boarding on HF472 despite confirmed booking HF1857. No immediate alternative offered. Had to book another carrier at double the price.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000096;CUST0287;FLT00193;BKG001318;2025-06-18;Service;Cabin crew on flight HF441 was dismissive. Pre-ordered vegetarian meal unavailable — no apology, no alternative. As a Silver member this is unacceptable.;Customer Service;Resolved;Incident report filed with In-Flight Service Director. Customer compensated 354 USD travel credit. Crew behavior under review.
